sweep: 90 cells  (3H x 10TP/SL x 3fk)

Loading candle data (365d_BA) ...
  loaded 20 pairs

Building base features ...
  AUD_CAD
  AUD_JPY
  AUD_NZD
  AUD_USD
  CHF_JPY
  EUR_AUD
  EUR_CAD
  EUR_CHF
  EUR_GBP
  EUR_JPY
  EUR_USD
  GBP_AUD
  GBP_CHF
  GBP_JPY
  GBP_USD
  NZD_JPY
  NZD_USD
  USD_CAD
  USD_CHF
  USD_JPY

--- HORIZON=20 ---
  H20_TP1.0_SL1.0_fk1.0 ... n=33  hit=36.4%  PnL=-74pip  Sharpe=-0.2724
  H20_TP1.0_SL1.0_fk1.5 ... n=129  hit=38.0%  PnL=-93pip  Sharpe=-0.1150
  H20_TP1.0_SL1.0_fk2.0 ... n=233  hit=35.6%  PnL=-119pip  Sharpe=-0.0902
  H20_TP1.5_SL1.0_fk1.0 ... n=80  hit=28.7%  PnL=9pip  Sharpe=0.0214
  H20_TP1.5_SL1.0_fk1.5 ... n=199  hit=25.1%  PnL=-78pip  Sharpe=-0.0865
  H20_TP1.5_SL1.0_fk2.0 ... n=389  hit=23.7%  PnL=-156pip  Sharpe=-0.0741
  H20_TP1.5_SL1.5_fk1.0 ... n=118  hit=40.7%  PnL=-60pip  Sharpe=-0.0562
  H20_TP1.5_SL1.5_fk1.5 ... n=209  hit=32.1%  PnL=-295pip  Sharpe=-0.1654
  H20_TP1.5_SL1.5_fk2.0 ... n=460  hit=33.0%  PnL=-553pip  Sharpe=-0.1658
  H20_TP2.0_SL1.0_fk1.0 ... n=39  hit=23.1%  PnL=12pip  Sharpe=0.0633
  H20_TP2.0_SL1.0_fk1.5 ... n=85  hit=23.5%  PnL=67pip  Sharpe=0.1413
  H20_TP2.0_SL1.0_fk2.0 ... n=222  hit=18.5%  PnL=36pip  Sharpe=0.0315
  H20_TP2.0_SL1.5_fk1.0 ... n=178  hit=27.0%  PnL=67pip  Sharpe=0.0588
  H20_TP2.0_SL1.5_fk1.5 ... n=306  hit=20.9%  PnL=-200pip  Sharpe=-0.1164
  H20_TP2.0_SL1.5_fk2.0 ... n=705  hit=24.8%  PnL=-255pip  Sharpe=-0.0664
  H20_TP2.0_SL2.0_fk1.0 ... n=209  hit=28.7%  PnL=-211pip  Sharpe=-0.1338
  H20_TP2.0_SL2.0_fk1.5 ... n=347  hit=26.8%  PnL=-315pip  Sharpe=-0.1185
  H20_TP2.0_SL2.0_fk2.0 ... n=492  hit=27.2%  PnL=-303pip  Sharpe=-0.0935
  H20_TP3.0_SL1.0_fk1.0 ... n=39  hit=10.3%  PnL=7pip  Sharpe=0.0349
  H20_TP3.0_SL1.0_fk1.5 ... n=34  hit=11.8%  PnL=12pip  Sharpe=0.0801
  H20_TP3.0_SL1.0_fk2.0 ... n=87  hit=5.7%  PnL=-64pip  Sharpe=-0.1536
  H20_TP3.0_SL1.5_fk1.0 ... n=56  hit=5.4%  PnL=-59pip  Sharpe=-0.4103
  H20_TP3.0_SL1.5_fk1.5 ... n=101  hit=17.8%  PnL=76pip  Sharpe=0.1255
